NIC_PT,NUI_PT,NAME,time,state,county
4954,1125,"Clay County, TN",2012,47,27
23803,5209,"Cocke County, TN",2012,47,29
36566,7549,"Coffee County, TN",2012,47,31
9729,2354,"Crockett County, TN",2012,47,33
33445,7492,"Cumberland County, TN",2012,47,35
451190,103496,"Davidson County, TN",2012,47,37
7393,1640,"Decatur County, TN",2012,47,39
12488,3101,"DeKalb County, TN",2012,47,41
36308,6617,"Dickson County, TN",2012,47,43
27547,4430,"Dyer County, TN",2012,47,45
27236,4426,"Fayette County, TN",2012,47,47
11864,2626,"Fentress County, TN",2012,47,49
26554,5086,"Franklin County, TN",2012,47,51
34610,6185,"Gibson County, TN",2012,47,53
19663,3685,"Giles County, TN",2012,47,55
15453,3236,"Grainger County, TN",2012,47,57
45423,9424,"Greene County, TN",2012,47,59
8862,2063,"Grundy County, TN",2012,47,61
41612,10065,"Hamblen County, TN",2012,47,63
239398,45171,"Hamilton County, TN",2012,47,65
4483,926,"Hancock County, TN",2012,47,67
15838,3038,"Hardeman County, TN",2012,47,69
17122,3575,"Hardin County, TN",2012,47,71
38841,7256,"Hawkins County, TN",2012,47,73
12848,2462,"Haywood County, TN",2012,47,75
19724,3741,"Henderson County, TN",2012,47,77
21113,4312,"Henry County, TN",2012,47,79
15709,3467,"Hickman County, TN",2012,47,81
5685,1117,"Houston County, TN",2012,47,83
12263,2487,"Humphreys County, TN",2012,47,85
7386,1749,"Jackson County, TN",2012,47,87
34339,7217,"Jefferson County, TN",2012,47,89
10598,2277,"Johnson County, TN",2012,47,91
314899,54706,"Knox County, TN",2012,47,93
3578,685,"Lake County, TN",2012,47,95
17799,3551,"Lauderdale County, TN",2012,47,97
28607,6168,"Lawrence County, TN",2012,47,99
7907,1826,"Lewis County, TN",2012,47,101
23250,4163,"Lincoln County, TN",2012,47,103
31581,6291,"Loudon County, TN",2012,47,105
35119,7338,"McMinn County, TN",2012,47,107
17649,3544,"McNairy County, TN",2012,47,109
15216,3746,"Macon County, TN",2012,47,111
67680,13369,"Madison County, TN",2012,47,113
19502,3778,"Marion County, TN",2012,47,115
21613,4647,"Marshall County, TN",2012,47,117
58740,11023,"Maury County, TN",2012,47,119
7866,1596,"Meigs County, TN",2012,47,121
29853,6820,"Monroe County, TN",2012,47,123
141965,23940,"Montgomery County, TN",2012,47,125
4234,794,"Moore County, TN",2012,47,127
13520,2706,"Morgan County, TN",2012,47,129
21154,4251,"Obion County, TN",2012,47,131
15003,2986,"Overton County, TN",2012,47,133
5045,1225,"Perry County, TN",2012,47,135
3127,723,"Pickett County, TN",2012,47,137
11160,2357,"Polk County, TN",2012,47,139
47992,11557,"Putnam County, TN",2012,47,141
21851,4294,"Rhea County, TN",2012,47,143
36239,6144,"Roane County, TN",2012,47,145
48371,9508,"Robertson County, TN",2012,47,147
207020,37707,"Rutherford County, TN",2012,47,149
15501,3221,"Scott County, TN",2012,47,151
9744,2022,"Sequatchie County, TN",2012,47,153
59553,16871,"Sevier County, TN",2012,47,155
682412,136382,"Shelby County, TN",2012,47,157
13730,2494,"Smith County, TN",2012,47,159
9148,1726,"Stewart County, TN",2012,47,161
105407,19072,"Sullivan County, TN",2012,47,163
122505,19336,"Sumner County, TN",2012,47,165
45699,7536,"Tipton County, TN",2012,47,167
5470,1113,"Trousdale County, TN",2012,47,169
11988,2374,"Unicoi County, TN",2012,47,171
13182,2899,"Union County, TN",2012,47,173
3712,768,"Van Buren County, TN",2012,47,175
26511,6548,"Warren County, TN",2012,47,177
84569,16740,"Washington County, TN",2012,47,179
9924,2124,"Wayne County, TN",2012,47,181
22962,4240,"Weakley County, TN",2012,47,183
17327,3716,"White County, TN",2012,47,185
156310,13906,"Williamson County, TN",2012,47,187
88629,13090,"Wilson County, TN",2012,47,189
52745,8209,"Anderson County, TN",2013,47,1
30560,8512,"Bedford County, TN",2013,47,3
10341,2301,"Benton County, TN",2013,47,5
7551,1992,"Bledsoe County, TN",2013,47,7
86303,15031,"Blount County, TN",2013,47,9
68979,14887,"Bradley County, TN",2013,47,11
27006,5444,"Campbell County, TN",2013,47,13
9383,1874,"Cannon County, TN",2013,47,15
18591,3550,"Carroll County, TN",2013,47,17
37347,8060,"Carter County, TN",2013,47,19
29275,5026,"Cheatham County, TN",2013,47,21
11252,2105,"Chester County, TN",2013,47,23
20757,4125,"Claiborne County, TN",2013,47,25
4856,1125,"Clay County, TN",2013,47,27
23821,4930,"Cocke County, TN",2013,47,29
36781,7361,"Coffee County, TN",2013,47,31
9650,2388,"Crockett County, TN",2013,47,33
33161,7771,"Cumberland County, TN",2013,47,35
459623,103675,"Davidson County, TN",2013,47,37
7373,1615,"Decatur County, TN",2013,47,39
12638,3125,"DeKalb County, TN",2013,47,41
35658,6899,"Dickson County, TN",2013,47,43
27349,4429,"Dyer County, TN",2013,47,45
26820,4588,"Fayette County, TN",2013,47,47
11771,2612,"Fentress County, TN",2013,47,49
26783,5010,"Franklin County, TN",2013,47,51
34175,6315,"Gibson County, TN",2013,47,53
19318,3705,"Giles County, TN",2013,47,55
15176,3410,"Grainger County, TN",2013,47,57
44469,9449,"Greene County, TN",2013,47,59
8706,2014,"Grundy County, TN",2013,47,61
41287,10443,"Hamblen County, TN",2013,47,63
242148,43973,"Hamilton County, TN",2013,47,65
