County,Not_Insured,Sex,Year
Jefferson,2548,Male Only,2016
Jefferson,1971,Female Only,2016
Johnson,1483,Both Sexes,2016
Johnson,828,Male Only,2016
Johnson,655,Female Only,2016
Knox,34810,Both Sexes,2016
Knox,19435,Male Only,2016
Knox,15375,Female Only,2016
Lake,452,Both Sexes,2016
Lake,252,Male Only,2016
Lake,200,Female Only,2016
Lauderdale,2257,Both Sexes,2016
Lauderdale,1272,Male Only,2016
Lauderdale,985,Female Only,2016
Lawrence,4018,Both Sexes,2016
Lawrence,2263,Male Only,2016
Lawrence,1755,Female Only,2016
Lewis,1090,Both Sexes,2016
Lewis,629,Male Only,2016
Lewis,461,Female Only,2016
Lincoln,3011,Both Sexes,2016
Lincoln,1696,Male Only,2016
Lincoln,1315,Female Only,2016
Loudon,4702,Both Sexes,2016
Loudon,2629,Male Only,2016
Loudon,2073,Female Only,2016
McMinn,4359,Both Sexes,2016
McMinn,2391,Male Only,2016
McMinn,1968,Female Only,2016
McNairy,2419,Both Sexes,2016
McNairy,1402,Male Only,2016
McNairy,1017,Female Only,2016
Macon,2815,Both Sexes,2016
Macon,1562,Male Only,2016
Macon,1253,Female Only,2016
Madison,7113,Both Sexes,2016
Madison,3874,Male Only,2016
Madison,3239,Female Only,2016
Marion,2228,Both Sexes,2016
Marion,1232,Male Only,2016
Marion,996,Female Only,2016
Marshall,3028,Both Sexes,2016
Marshall,1597,Male Only,2016
Marshall,1431,Female Only,2016
Maury,7117,Both Sexes,2016
Maury,3875,Male Only,2016
Maury,3242,Female Only,2016
Meigs,1123,Both Sexes,2016
Meigs,625,Male Only,2016
Meigs,498,Female Only,2016
Monroe,4468,Both Sexes,2016
Monroe,2604,Male Only,2016
Monroe,1864,Female Only,2016
Montgomery,15343,Both Sexes,2016
Montgomery,8395,Male Only,2016
Montgomery,6948,Female Only,2016
Moore,454,Both Sexes,2016
Moore,252,Male Only,2016
Moore,202,Female Only,2016
Morgan,1839,Both Sexes,2016
Morgan,1055,Male Only,2016
Morgan,784,Female Only,2016
Obion,2681,Both Sexes,2016
Obion,1497,Male Only,2016
Obion,1184,Female Only,2016
Overton,2074,Both Sexes,2016
Overton,1181,Male Only,2016
Overton,893,Female Only,2016
Perry,716,Both Sexes,2016
Perry,407,Male Only,2016
Perry,309,Female Only,2016
Pickett,396,Both Sexes,2016
Pickett,219,Male Only,2016
Pickett,177,Female Only,2016
Polk,1428,Both Sexes,2016
Polk,819,Male Only,2016
Polk,609,Female Only,2016
Putnam,7444,Both Sexes,2016
Putnam,4282,Male Only,2016
Putnam,3162,Female Only,2016
Rhea,3210,Both Sexes,2016
Rhea,1714,Male Only,2016
Rhea,1496,Female Only,2016
Roane,4027,Both Sexes,2016
Roane,2184,Male Only,2016
Roane,1843,Female Only,2016
Robertson,6192,Both Sexes,2016
Robertson,3483,Male Only,2016
Robertson,2709,Female Only,2016
Rutherford,24067,Both Sexes,2016
Rutherford,14006,Male Only,2016
Rutherford,10061,Female Only,2016
Scott,2017,Both Sexes,2016
Scott,1156,Male Only,2016
Scott,861,Female Only,2016
Sequatchie,1224,Both Sexes,2016
Sequatchie,663,Male Only,2016
Sequatchie,561,Female Only,2016
Sevier,11903,Both Sexes,2016
Sevier,6544,Male Only,2016
Sevier,5359,Female Only,2016
Shelby,92483,Both Sexes,2016
Shelby,53945,Male Only,2016
Shelby,38538,Female Only,2016
Smith,1668,Both Sexes,2016
Smith,967,Male Only,2016
Smith,701,Female Only,2016
Stewart,1178,Both Sexes,2016
Stewart,684,Male Only,2016
Stewart,494,Female Only,2016
Sullivan,12070,Both Sexes,2016
Sullivan,6897,Male Only,2016
Sullivan,5173,Female Only,2016
Sumner,13249,Both Sexes,2016
Sumner,7485,Male Only,2016
Sumner,5764,Female Only,2016
Tipton,5161,Both Sexes,2016
Tipton,2874,Male Only,2016
Tipton,2287,Female Only,2016
Trousdale,846,Both Sexes,2016
Trousdale,477,Male Only,2016
Trousdale,369,Female Only,2016
Unicoi,1582,Both Sexes,2016
Unicoi,906,Male Only,2016
Unicoi,676,Female Only,2016
Union,1956,Both Sexes,2016
Union,1058,Male Only,2016
Union,898,Female Only,2016
VanBuren,511,Both Sexes,2016
VanBuren,300,Male Only,2016
VanBuren,211,Female Only,2016
Warren,4490,Both Sexes,2016
Warren,2647,Male Only,2016
Warren,1843,Female Only,2016
Washington,9940,Both Sexes,2016
Washington,5590,Male Only,2016
Washington,4350,Female Only,2016
Wayne,1404,Both Sexes,2016
Wayne,786,Male Only,2016
Wayne,618,Female Only,2016
Weakley,2501,Both Sexes,2016
Weakley,1387,Male Only,2016
Weakley,1114,Female Only,2016
White,2325,Both Sexes,2016
White,1295,Male Only,2016
White,1030,Female Only,2016
Williamson,11006,Both Sexes,2016
Williamson,5837,Male Only,2016
Williamson,5169,Female Only,2016
Wilson,8508,Both Sexes,2016
Wilson,4396,Male Only,2016
Wilson,4112,Female Only,2016
Anderson,6218,Both Sexes,2017
Anderson,3538,Male Only,2017
Anderson,2680,Female Only,2017
Bedford,5801,Both Sexes,2017
Bedford,3271,Male Only,2017
Bedford,2530,Female Only,2017
Benton,1489,Both Sexes,2017
Benton,801,Male Only,2017
Benton,688,Female Only,2017
Bledsoe,1422,Both Sexes,2017
Bledsoe,812,Male Only,2017
Bledsoe,610,Female Only,2017
Blount,10561,Both Sexes,2017
Blount,6157,Male Only,2017
Blount,4404,Female Only,2017
Bradley,11377,Both Sexes,2017
Bradley,6605,Male Only,2017
Bradley,4772,Female Only,2017
Campbell,3847,Both Sexes,2017
Campbell,2164,Male Only,2017
Campbell,1683,Female Only,2017
Cannon,1381,Both Sexes,2017
Cannon,810,Male Only,2017
Cannon,571,Female Only,2017
Carroll,2295,Both Sexes,2017
Carroll,1368,Male Only,2017
Carroll,927,Female Only,2017
Carter,5222,Both Sexes,2017
Carter,2916,Male Only,2017
Carter,2306,Female Only,2017
Cheatham,3506,Both Sexes,2017
Cheatham,2036,Male Only,2017
Cheatham,1470,Female Only,2017
Chester,1558,Both Sexes,2017
Chester,880,Male Only,2017
Chester,678,Female Only,2017
Claiborne,2834,Both Sexes,2017
Claiborne,1602,Male Only,2017
Claiborne,1232,Female Only,2017
Clay,839,Both Sexes,2017
Clay,461,Male Only,2017
Clay,378,Female Only,2017
Cocke,3395,Both Sexes,2017
Cocke,1795,Male Only,2017
Cocke,1600,Female Only,2017
Coffee,4939,Both Sexes,2017
Coffee,2948,Male Only,2017
Coffee,1991,Female Only,2017
Crockett,1669,Both Sexes,2017
Crockett,911,Male Only,2017
Crockett,758,Female Only,2017
Cumberland,5144,Both Sexes,2017
Cumberland,2865,Male Only,2017
Cumberland,2279,Female Only,2017
Davidson,82893,Both Sexes,2017
Davidson,47673,Male Only,2017
Davidson,35220,Female Only,2017
Decatur,1082,Both Sexes,2017
Decatur,586,Male Only,2017
Decatur,496,Female Only,2017
DeKalb,2287,Both Sexes,2017
DeKalb,1259,Male Only,2017
DeKalb,1028,Female Only,2017
Dickson,4808,Both Sexes,2017
Dickson,2721,Male Only,2017
Dickson,2087,Female Only,2017
Dyer,2995,Both Sexes,2017
Dyer,1668,Male Only,2017
Dyer,1327,Female Only,2017
Fayette,3474,Both Sexes,2017
Fayette,1937,Male Only,2017
Fayette,1537,Female Only,2017
Fentress,1723,Both Sexes,2017
Fentress,982,Male Only,2017
Fentress,741,Female Only,2017
Franklin,3340,Both Sexes,2017
Franklin,1910,Male Only,2017
Franklin,1430,Female Only,2017
Gibson,4327,Both Sexes,2017
Gibson,2420,Male Only,2017
Gibson,1907,Female Only,2017
Giles,2802,Both Sexes,2017
Giles,1629,Male Only,2017
Giles,1173,Female Only,2017
Grainger,2275,Both Sexes,2017
Grainger,1327,Male Only,2017
Grainger,948,Female Only,2017
Greene,5877,Both Sexes,2017
Greene,3324,Male Only,2017
Greene,2553,Female Only,2017
Grundy,1420,Both Sexes,2017
Grundy,821,Male Only,2017
Grundy,599,Female Only,2017
Hamblen,7165,Both Sexes,2017
Hamblen,4116,Male Only,2017
Hamblen,3049,Female Only,2017
Hamilton,32272,Both Sexes,2017
Hamilton,18110,Male Only,2017
Hamilton,14162,Female Only,2017
Hancock,586,Both Sexes,2017
Hancock,319,Male Only,2017
Hancock,267,Female Only,2017
Hardeman,2098,Both Sexes,2017
Hardeman,1155,Male Only,2017
Hardeman,943,Female Only,2017
Hardin,2327,Both Sexes,2017
Hardin,1290,Male Only,2017
Hardin,1037,Female Only,2017
Hawkins,4912,Both Sexes,2017
Hawkins,2860,Male Only,2017
Hawkins,2052,Female Only,2017
Haywood,1597,Both Sexes,2017
Haywood,850,Male Only,2017
Haywood,747,Female Only,2017
Henderson,2486,Both Sexes,2017
Henderson,1374,Male Only,2017
Henderson,1112,Female Only,2017
Henry,2756,Both Sexes,2017
Henry,1617,Male Only,2017
Henry,1139,Female Only,2017
Hickman,2468,Both Sexes,2017
Hickman,1399,Male Only,2017
Hickman,1069,Female Only,2017
Houston,809,Both Sexes,2017
Houston,451,Male Only,2017
Houston,358,Female Only,2017
Humphreys,1646,Both Sexes,2017
Humphreys,891,Male Only,2017
Humphreys,755,Female Only,2017
Jackson,1115,Both Sexes,2017
Jackson,633,Male Only,2017
Jackson,482,Female Only,2017
Jefferson,4863,Both Sexes,2017
Jefferson,2617,Male Only,2017
Jefferson,2246,Female Only,2017
Johnson,1498,Both Sexes,2017
Johnson,840,Male Only,2017
Johnson,658,Female Only,2017
Knox,37471,Both Sexes,2017
Knox,21303,Male Only,2017
Knox,16168,Female Only,2017
Lake,458,Both Sexes,2017
Lake,258,Male Only,2017
Lake,200,Female Only,2017
Lauderdale,2388,Both Sexes,2017
Lauderdale,1326,Male Only,2017
Lauderdale,1062,Female Only,2017
Lawrence,4595,Both Sexes,2017
Lawrence,2628,Male Only,2017
Lawrence,1967,Female Only,2017
Lewis,1142,Both Sexes,2017
Lewis,636,Male Only,2017
Lewis,506,Female Only,2017
Lincoln,3084,Both Sexes,2017
Lincoln,1771,Male Only,2017
Lincoln,1313,Female Only,2017
Loudon,4920,Both Sexes,2017
Loudon,2746,Male Only,2017
Loudon,2174,Female Only,2017
McMinn,5075,Both Sexes,2017
McMinn,3061,Male Only,2017
McMinn,2014,Female Only,2017
McNairy,2320,Both Sexes,2017
McNairy,1339,Male Only,2017
McNairy,981,Female Only,2017
Macon,2662,Both Sexes,2017
Macon,1542,Male Only,2017
Macon,1120,Female Only,2017
Madison,7445,Both Sexes,2017
Madison,4083,Male Only,2017
Madison,3362,Female Only,2017
Marion,2564,Both Sexes,2017
Marion,1442,Male Only,2017
Marion,1122,Female Only,2017
Marshall,2899,Both Sexes,2017
Marshall,1601,Male Only,2017
Marshall,1298,Female Only,2017
Maury,8242,Both Sexes,2017
Maury,4585,Male Only,2017
Maury,3657,Female Only,2017
Meigs,1174,Both Sexes,2017
Meigs,649,Male Only,2017
Meigs,525,Female Only,2017
Monroe,4317,Both Sexes,2017
Monroe,2357,Male Only,2017
Monroe,1960,Female Only,2017
Montgomery,15705,Both Sexes,2017
Montgomery,9195,Male Only,2017
Montgomery,6510,Female Only,2017
Moore,476,Both Sexes,2017
Moore,255,Male Only,2017
Moore,221,Female Only,2017
Morgan,1945,Both Sexes,2017
Morgan,1077,Male Only,2017
Morgan,868,Female Only,2017
Obion,2817,Both Sexes,2017
Obion,1538,Male Only,2017
Obion,1279,Female Only,2017
Overton,2072,Both Sexes,2017
Overton,1157,Male Only,2017
Overton,915,Female Only,2017
Perry,884,Both Sexes,2017
Perry,482,Male Only,2017
Perry,402,Female Only,2017
Pickett,439,Both Sexes,2017
Pickett,241,Male Only,2017
Pickett,198,Female Only,2017
Polk,1635,Both Sexes,2017
Polk,929,Male Only,2017
Polk,706,Female Only,2017
Putnam,7742,Both Sexes,2017
Putnam,4213,Male Only,2017
Putnam,3529,Female Only,2017
Rhea,3284,Both Sexes,2017
Rhea,1875,Male Only,2017
Rhea,1409,Female Only,2017
Roane,4394,Both Sexes,2017
Roane,2454,Male Only,2017
Roane,1940,Female Only,2017
Robertson,6024,Both Sexes,2017
Robertson,3393,Male Only,2017
Robertson,2631,Female Only,2017
Rutherford,26618,Both Sexes,2017
Rutherford,14224,Male Only,2017
Rutherford,12394,Female Only,2017
Scott,2035,Both Sexes,2017
Scott,1110,Male Only,2017
Scott,925,Female Only,2017
Sequatchie,1313,Both Sexes,2017
Sequatchie,744,Male Only,2017
Sequatchie,569,Female Only,2017
Sevier,12956,Both Sexes,2017
Sevier,6965,Male Only,2017
Sevier,5991,Female Only,2017
Shelby,93094,Both Sexes,2017
Shelby,52228,Male Only,2017
Shelby,40866,Female Only,2017
Smith,1678,Both Sexes,2017
Smith,979,Male Only,2017
Smith,699,Female Only,2017
Stewart,1273,Both Sexes,2017
Stewart,736,Male Only,2017
Stewart,537,Female Only,2017
Sullivan,12489,Both Sexes,2017
Sullivan,7266,Male Only,2017
Sullivan,5223,Female Only,2017
Sumner,15226,Both Sexes,2017
Sumner,8449,Male Only,2017
Sumner,6777,Female Only,2017
Tipton,4695,Both Sexes,2017
Tipton,2718,Male Only,2017
Tipton,1977,Female Only,2017
Trousdale,878,Both Sexes,2017
Trousdale,483,Male Only,2017
Trousdale,395,Female Only,2017
Unicoi,1665,Both Sexes,2017
Unicoi,945,Male Only,2017
Unicoi,720,Female Only,2017
Union,2031,Both Sexes,2017
Union,1092,Male Only,2017
Union,939,Female Only,2017
VanBuren,551,Both Sexes,2017
VanBuren,317,Male Only,2017
VanBuren,234,Female Only,2017
Warren,4879,Both Sexes,2017
Warren,2867,Male Only,2017
Warren,2012,Female Only,2017
Washington,11411,Both Sexes,2017
Washington,6534,Male Only,2017
Washington,4877,Female Only,2017
Wayne,1341,Both Sexes,2017
Wayne,755,Male Only,2017
Wayne,586,Female Only,2017
Weakley,2657,Both Sexes,2017
Weakley,1501,Male Only,2017
Weakley,1156,Female Only,2017
White,2384,Both Sexes,2017
White,1379,Male Only,2017
White,1005,Female Only,2017
Williamson,12631,Both Sexes,2017
Williamson,7084,Male Only,2017
Williamson,5547,Female Only,2017
Wilson,9956,Both Sexes,2017
Wilson,5620,Male Only,2017
Wilson,4336,Female Only,2017
Anderson,6990,Both Sexes,2018
Anderson,3956,Male Only,2018
Anderson,3034,Female Only,2018
Bedford,6029,Both Sexes,2018
Bedford,3455,Male Only,2018
Bedford,2574,Female Only,2018
Benton,1552,Both Sexes,2018
Benton,853,Male Only,2018
Benton,699,Female Only,2018
Bledsoe,1660,Both Sexes,2018
Bledsoe,938,Male Only,2018
Bledsoe,722,Female Only,2018
Blount,11788,Both Sexes,2018
Blount,6529,Male Only,2018
Blount,5259,Female Only,2018
Bradley,11670,Both Sexes,2018
Bradley,6549,Male Only,2018
Bradley,5121,Female Only,2018
Campbell,4041,Both Sexes,2018
Campbell,2345,Male Only,2018
Campbell,1696,Female Only,2018
Cannon,1464,Both Sexes,2018
Cannon,849,Male Only,2018
Cannon,615,Female Only,2018
Carroll,2436,Both Sexes,2018
Carroll,1419,Male Only,2018
Carroll,1017,Female Only,2018
Carter,5690,Both Sexes,2018
Carter,3264,Male Only,2018
Carter,2426,Female Only,2018
Cheatham,4006,Both Sexes,2018
Cheatham,2394,Male Only,2018
Cheatham,1612,Female Only,2018
Chester,1667,Both Sexes,2018
Chester,914,Male Only,2018
Chester,753,Female Only,2018
Claiborne,2858,Both Sexes,2018
Claiborne,1535,Male Only,2018
Claiborne,1323,Female Only,2018
Clay,761,Both Sexes,2018
Clay,427,Male Only,2018
Clay,334,Female Only,2018
Cocke,3301,Both Sexes,2018
Cocke,1727,Male Only,2018
Cocke,1574,Female Only,2018
Coffee,5296,Both Sexes,2018
Coffee,2891,Male Only,2018
Coffee,2405,Female Only,2018
Crockett,1663,Both Sexes,2018
Crockett,938,Male Only,2018
Crockett,725,Female Only,2018
Cumberland,5178,Both Sexes,2018
Cumberland,2794,Male Only,2018
Cumberland,2384,Female Only,2018
Davidson,81497,Both Sexes,2018
Davidson,44672,Male Only,2018
Davidson,36825,Female Only,2018
Decatur,1102,Both Sexes,2018
Decatur,609,Male Only,2018
Decatur,493,Female Only,2018
DeKalb,2455,Both Sexes,2018
DeKalb,1418,Male Only,2018
DeKalb,1037,Female Only,2018
Dickson,5622,Both Sexes,2018
Dickson,3028,Male Only,2018
Dickson,2594,Female Only,2018
Dyer,3316,Both Sexes,2018
Dyer,1791,Male Only,2018
Dyer,1525,Female Only,2018
Fayette,3124,Both Sexes,2018
Fayette,1689,Male Only,2018
Fayette,1435,Female Only,2018
Fentress,1874,Both Sexes,2018
Fentress,1034,Male Only,2018
Fentress,840,Female Only,2018
Franklin,3639,Both Sexes,2018
Franklin,1986,Male Only,2018
Franklin,1653,Female Only,2018
Gibson,4396,Both Sexes,2018
Gibson,2314,Male Only,2018
Gibson,2082,Female Only,2018
Giles,2763,Both Sexes,2018
Giles,1564,Male Only,2018
Giles,1199,Female Only,2018
Grainger,2498,Both Sexes,2018
Grainger,1405,Male Only,2018
Grainger,1093,Female Only,2018
Greene,6618,Both Sexes,2018
Greene,3697,Male Only,2018
Greene,2921,Female Only,2018
Grundy,1549,Both Sexes,2018
Grundy,866,Male Only,2018
Grundy,683,Female Only,2018
Hamblen,7499,Both Sexes,2018
Hamblen,4281,Male Only,2018
Hamblen,3218,Female Only,2018
Hamilton,34725,Both Sexes,2018
Hamilton,19358,Male Only,2018
Hamilton,15367,Female Only,2018
Hancock,607,Both Sexes,2018
Hancock,323,Male Only,2018
Hancock,284,Female Only,2018
Hardeman,2038,Both Sexes,2018
Hardeman,1118,Male Only,2018
Hardeman,920,Female Only,2018
Hardin,2504,Both Sexes,2018
Hardin,1358,Male Only,2018
Hardin,1146,Female Only,2018
Hawkins,5143,Both Sexes,2018
Hawkins,2876,Male Only,2018
Hawkins,2267,Female Only,2018
Haywood,1573,Both Sexes,2018
Haywood,847,Male Only,2018
Haywood,726,Female Only,2018
Henderson,2740,Both Sexes,2018
Henderson,1552,Male Only,2018
Henderson,1188,Female Only,2018
Henry,2834,Both Sexes,2018
Henry,1587,Male Only,2018
Henry,1247,Female Only,2018
Hickman,2586,Both Sexes,2018
Hickman,1465,Male Only,2018
Hickman,1121,Female Only,2018
Houston,823,Both Sexes,2018
Houston,451,Male Only,2018
Houston,372,Female Only,2018
Humphreys,1864,Both Sexes,2018
Humphreys,984,Male Only,2018
Humphreys,880,Female Only,2018
Jackson,1258,Both Sexes,2018
Jackson,710,Male Only,2018
Jackson,548,Female Only,2018
Jefferson,5228,Both Sexes,2018
Jefferson,2845,Male Only,2018
Jefferson,2383,Female Only,2018
Johnson,1579,Both Sexes,2018
Johnson,873,Male Only,2018
Johnson,706,Female Only,2018
Knox,39398,Both Sexes,2018
Knox,21322,Male Only,2018
Knox,18076,Female Only,2018
Lake,452,Both Sexes,2018
Lake,263,Male Only,2018
Lake,189,Female Only,2018
Lauderdale,2457,Both Sexes,2018
Lauderdale,1380,Male Only,2018
Lauderdale,1077,Female Only,2018
Lawrence,4413,Both Sexes,2018
Lawrence,2358,Male Only,2018
Lawrence,2055,Female Only,2018
Lewis,1231,Both Sexes,2018
Lewis,671,Male Only,2018
Lewis,560,Female Only,2018
Lincoln,3348,Both Sexes,2018
Lincoln,1888,Male Only,2018
Lincoln,1460,Female Only,2018
Loudon,5091,Both Sexes,2018
Loudon,2809,Male Only,2018
Loudon,2282,Female Only,2018
McMinn,5341,Both Sexes,2018
McMinn,2845,Male Only,2018
McMinn,2496,Female Only,2018
McNairy,2617,Both Sexes,2018
McNairy,1478,Male Only,2018
McNairy,1139,Female Only,2018
Macon,2895,Both Sexes,2018
Macon,1615,Male Only,2018
Macon,1280,Female Only,2018
Madison,8735,Both Sexes,2018
Madison,4809,Male Only,2018
Madison,3926,Female Only,2018
Marion,2609,Both Sexes,2018
Marion,1460,Male Only,2018
Marion,1149,Female Only,2018
Marshall,3102,Both Sexes,2018
Marshall,1695,Male Only,2018
Marshall,1407,Female Only,2018
Maury,8055,Both Sexes,2018
Maury,4526,Male Only,2018
Maury,3529,Female Only,2018
Meigs,1177,Both Sexes,2018
Meigs,644,Male Only,2018
Meigs,533,Female Only,2018
Monroe,5081,Both Sexes,2018
Monroe,2932,Male Only,2018
Monroe,2149,Female Only,2018
Montgomery,16046,Both Sexes,2018
Montgomery,8729,Male Only,2018
Montgomery,7317,Female Only,2018
Moore,474,Both Sexes,2018
Moore,253,Male Only,2018
Moore,221,Female Only,2018
Morgan,2069,Both Sexes,2018
Morgan,1140,Male Only,2018
Morgan,929,Female Only,2018
Obion,2755,Both Sexes,2018
Obion,1474,Male Only,2018
Obion,1281,Female Only,2018
Overton,2141,Both Sexes,2018
Overton,1218,Male Only,2018
Overton,923,Female Only,2018
Perry,844,Both Sexes,2018
Perry,475,Male Only,2018
Perry,369,Female Only,2018
Pickett,501,Both Sexes,2018
Pickett,281,Male Only,2018
Pickett,220,Female Only,2018
Polk,1826,Both Sexes,2018
Polk,1028,Male Only,2018
Polk,798,Female Only,2018
Putnam,7767,Both Sexes,2018
Putnam,4508,Male Only,2018
Putnam,3259,Female Only,2018
Rhea,3335,Both Sexes,2018
Rhea,1857,Male Only,2018
Rhea,1478,Female Only,2018
Roane,4516,Both Sexes,2018
Roane,2424,Male Only,2018
Roane,2092,Female Only,2018
Robertson,7334,Both Sexes,2018
Robertson,4305,Male Only,2018
Robertson,3029,Female Only,2018
Rutherford,29160,Both Sexes,2018
Rutherford,16583,Male Only,2018
Rutherford,12577,Female Only,2018
Scott,2373,Both Sexes,2018
Scott,1299,Male Only,2018
Scott,1074,Female Only,2018
Sequatchie,1368,Both Sexes,2018
Sequatchie,760,Male Only,2018
Sequatchie,608,Female Only,2018
Sevier,13515,Both Sexes,2018
Sevier,7619,Male Only,2018
Sevier,5896,Female Only,2018
Shelby,107268,Both Sexes,2018
Shelby,61000,Male Only,2018
Shelby,46268,Female Only,2018
Smith,1892,Both Sexes,2018
Smith,1011,Male Only,2018
Smith,881,Female Only,2018
Stewart,1356,Both Sexes,2018
Stewart,767,Male Only,2018
Stewart,589,Female Only,2018
Sullivan,14323,Both Sexes,2018
Sullivan,7921,Male Only,2018
Sullivan,6402,Female Only,2018
Sumner,15785,Both Sexes,2018
Sumner,8587,Male Only,2018
Sumner,7198,Female Only,2018
Tipton,5738,Both Sexes,2018
Tipton,3395,Male Only,2018
Tipton,2343,Female Only,2018
Trousdale,880,Both Sexes,2018
Trousdale,504,Male Only,2018
Trousdale,376,Female Only,2018
Unicoi,1632,Both Sexes,2018
Unicoi,920,Male Only,2018
Unicoi,712,Female Only,2018
Union,2136,Both Sexes,2018
Union,1173,Male Only,2018
Union,963,Female Only,2018
VanBuren,588,Both Sexes,2018
VanBuren,341,Male Only,2018
VanBuren,247,Female Only,2018
Warren,5246,Both Sexes,2018
Warren,2919,Male Only,2018
Warren,2327,Female Only,2018
Washington,10856,Both Sexes,2018
Washington,5970,Male Only,2018
Washington,4886,Female Only,2018
Wayne,1501,Both Sexes,2018
Wayne,805,Male Only,2018
Wayne,696,Female Only,2018
Weakley,3261,Both Sexes,2018
Weakley,1841,Male Only,2018
Weakley,1420,Female Only,2018
White,2666,Both Sexes,2018
White,1427,Male Only,2018
White,1239,Female Only,2018
Williamson,12500,Both Sexes,2018
Williamson,6608,Male Only,2018
Williamson,5892,Female Only,2018
Wilson,11102,Both Sexes,2018
Wilson,5921,Male Only,2018
Wilson,5181,Female Only,2018
Anderson,7356,Both Sexes,2019
Anderson,4152,Male Only,2019
Anderson,3204,Female Only,2019
Bedford,6283,Both Sexes,2019
Bedford,3377,Male Only,2019
Bedford,2906,Female Only,2019
Benton,1630,Both Sexes,2019
Benton,874,Male Only,2019
Benton,756,Female Only,2019
Bledsoe,1574,Both Sexes,2019
Bledsoe,899,Male Only,2019
Bledsoe,675,Female Only,2019
Blount,12138,Both Sexes,2019
Blount,6479,Male Only,2019
Blount,5659,Female Only,2019
Bradley,12174,Both Sexes,2019
Bradley,6734,Male Only,2019
Bradley,5440,Female Only,2019
Campbell,3962,Both Sexes,2019
Campbell,2227,Male Only,2019
Campbell,1735,Female Only,2019
Cannon,1473,Both Sexes,2019
Cannon,845,Male Only,2019
Cannon,628,Female Only,2019
Carroll,2641,Both Sexes,2019
Carroll,1499,Male Only,2019
Carroll,1142,Female Only,2019
Carter,5950,Both Sexes,2019
Carter,3449,Male Only,2019
Carter,2501,Female Only,2019
Cheatham,4020,Both Sexes,2019
Cheatham,2245,Male Only,2019
Cheatham,1775,Female Only,2019
Chester,1635,Both Sexes,2019
Chester,952,Male Only,2019
Chester,683,Female Only,2019
Claiborne,2953,Both Sexes,2019
Claiborne,1692,Male Only,2019
Claiborne,1261,Female Only,2019
Clay,787,Both Sexes,2019
Clay,440,Male Only,2019
Clay,347,Female Only,2019
Cocke,3544,Both Sexes,2019
Cocke,1937,Male Only,2019
Cocke,1607,Female Only,2019
Coffee,5468,Both Sexes,2019
Coffee,3035,Male Only,2019
Coffee,2433,Female Only,2019
Crockett,1736,Both Sexes,2019
Crockett,935,Male Only,2019
Crockett,801,Female Only,2019
Cumberland,5862,Both Sexes,2019
Cumberland,3321,Male Only,2019
Cumberland,2541,Female Only,2019
Davidson,78123,Both Sexes,2019
Davidson,43396,Male Only,2019
Davidson,34727,Female Only,2019
Decatur,1105,Both Sexes,2019
Decatur,612,Male Only,2019
Decatur,493,Female Only,2019
DeKalb,2313,Both Sexes,2019
DeKalb,1258,Male Only,2019
DeKalb,1055,Female Only,2019
Dickson,5200,Both Sexes,2019
Dickson,2732,Male Only,2019
Dickson,2468,Female Only,2019
Dyer,3440,Both Sexes,2019
Dyer,1891,Male Only,2019
Dyer,1549,Female Only,2019
Fayette,3586,Both Sexes,2019
Fayette,1991,Male Only,2019
Fayette,1595,Female Only,2019
Fentress,1842,Both Sexes,2019
Fentress,1039,Male Only,2019
Fentress,803,Female Only,2019
Franklin,3699,Both Sexes,2019
Franklin,2098,Male Only,2019
Franklin,1601,Female Only,2019
Gibson,4596,Both Sexes,2019
Gibson,2561,Male Only,2019
Gibson,2035,Female Only,2019
Giles,2994,Both Sexes,2019
Giles,1668,Male Only,2019
Giles,1326,Female Only,2019
Grainger,2522,Both Sexes,2019
Grainger,1447,Male Only,2019
Grainger,1075,Female Only,2019
Greene,6864,Both Sexes,2019
Greene,3909,Male Only,2019
Greene,2955,Female Only,2019
Grundy,1465,Both Sexes,2019
Grundy,821,Male Only,2019
Grundy,644,Female Only,2019
Hamblen,8105,Both Sexes,2019
Hamblen,4575,Male Only,2019
Hamblen,3530,Female Only,2019
Hamilton,35273,Both Sexes,2019
Hamilton,19463,Male Only,2019
Hamilton,15810,Female Only,2019
Hancock,587,Both Sexes,2019
Hancock,330,Male Only,2019
Hancock,257,Female Only,2019
Hardeman,2033,Both Sexes,2019
Hardeman,1156,Male Only,2019
Hardeman,877,Female Only,2019
Hardin,2370,Both Sexes,2019
Hardin,1355,Male Only,2019
Hardin,1015,Female Only,2019
Hawkins,5094,Both Sexes,2019
Hawkins,2872,Male Only,2019
Hawkins,2222,Female Only,2019
Haywood,1613,Both Sexes,2019
Haywood,863,Male Only,2019
Haywood,750,Female Only,2019
Henderson,2834,Both Sexes,2019
Henderson,1560,Male Only,2019
Henderson,1274,Female Only,2019
Henry,3121,Both Sexes,2019
Henry,1808,Male Only,2019
Henry,1313,Female Only,2019
Hickman,2682,Both Sexes,2019
Hickman,1547,Male Only,2019
Hickman,1135,Female Only,2019
Houston,883,Both Sexes,2019
Houston,496,Male Only,2019
Houston,387,Female Only,2019
Humphreys,1710,Both Sexes,2019
Humphreys,936,Male Only,2019
Humphreys,774,Female Only,2019
Jackson,1258,Both Sexes,2019
Jackson,675,Male Only,2019
Jackson,583,Female Only,2019
Jefferson,5509,Both Sexes,2019
