,Insured,Not_Insured,County,Year,Percent_Insured,Percent_Uninsured
0,52679,8602,Anderson,2010,85.96,14.04
1,30357,8542,Bedford,2010,78.04,21.96
2,10768,2333,Benton,2010,82.19,17.81
3,7957,1846,Bledsoe,2010,81.17,18.83
4,86269,15189,Blount,2010,85.03,14.97
5,68534,13911,Bradley,2010,83.13,16.87
6,27800,5493,Campbell,2010,83.5,16.5
7,9434,2038,Cannon,2010,82.24,17.76
8,18977,3656,Carroll,2010,83.85,16.15
9,38093,8272,Carter,2010,82.16,17.84
10,28995,5523,Cheatham,2010,84.0,16.0
11,11261,2187,Chester,2010,83.74,16.26
12,21844,4122,Claiborne,2010,84.13,15.87
13,5069,1167,Clay,2010,81.29,18.71
14,24125,5285,Cocke,2010,82.03,17.97
15,36547,7384,Coffee,2010,83.19,16.81
16,9720,2371,Crockett,2010,80.39,19.61
17,33284,7963,Cumberland,2010,80.69,19.31
18,431740,106801,Davidson,2010,80.17,19.83
19,7568,1660,Decatur,2010,82.01,17.99
20,12321,3234,DeKalb,2010,79.21,20.79
21,36010,6621,Dickson,2010,84.47,15.53
22,27595,4811,Dyer,2010,85.15,14.85
23,27500,4736,Fayette,2010,85.31,14.69
24,12107,2679,Fentress,2010,81.88,18.12
25,27224,4990,Franklin,2010,84.51,15.49
26,34587,6441,Gibson,2010,84.3,15.7
27,20000,3960,Giles,2010,83.47,16.53
28,15475,3502,Grainger,2010,81.55,18.45
29,45837,9689,Greene,2010,82.55,17.45
30,9276,1904,Grundy,2010,82.97,17.03
31,41913,10214,Hamblen,2010,80.41,19.59
32,233634,45813,Hamilton,2010,83.61,16.39
33,4571,971,Hancock,2010,82.48,17.52
34,16552,3200,Hardeman,2010,83.8,16.2
35,17323,3763,Hardin,2010,82.15,17.85
36,39812,7247,Hawkins,2010,84.6,15.4
37,13179,2818,Haywood,2010,82.38,17.62
38,19700,3730,Henderson,2010,84.08,15.92
39,21324,4332,Henry,2010,83.12,16.88
40,16392,3405,Hickman,2010,82.8,17.2
41,5653,1217,Houston,2010,82.29,17.71
42,12678,2445,Humphreys,2010,83.83,16.17
43,7759,1720,Jackson,2010,81.85,18.15
44,34374,7237,Jefferson,2010,82.61,17.39
45,11024,2252,Johnson,2010,83.04,16.96
46,311607,53027,Knox,2010,85.46,14.54
47,3731,681,Lake,2010,84.56,15.44
48,18064,3519,Lauderdale,2010,83.7,16.3
49,28750,6176,Lawrence,2010,82.32,17.68
50,8206,1888,Lewis,2010,81.3,18.7
51,23403,4167,Lincoln,2010,84.89,15.11
52,31499,6372,Loudon,2010,83.17,16.83
